epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,396.684,0.41062,0.36121,1.03617,0.98632,1,0.995,0.94447,0.3771,0.31817,1.20901,0.00063865,0.00063865,0.00063865
75,401.511,0.41119,0.3759,0.99685,0.98632,1,0.995,0.94447,0.3771,0.31817,1.20901,0.0006337,0.0006337,0.0006337
76,406.46,0.42984,0.38227,1.03718,0.99127,1,0.995,0.95232,0.37338,0.314,1.21364,0.00062875,0.00062875,0.00062875
77,411.518,0.38546,0.35499,0.98468,0.99086,1,0.995,0.95501,0.37531,0.30759,1.21757,0.0006238,0.0006238,0.0006238
78,417.024,0.43041,0.38058,1.06675,0.99203,1,0.995,0.94524,0.38382,0.31354,1.20892,0.00061885,0.00061885,0.00061885
79,421.858,0.41028,0.37441,1.032,0.99203,1,0.995,0.94524,0.38382,0.31354,1.20892,0.0006139,0.0006139,0.0006139
80,426.79,0.45094,0.3621,1.07871,0.99324,1,0.995,0.94168,0.39737,0.32308,1.20652,0.00060895,0.00060895,0.00060895
81,431.726,0.44036,0.39049,1.02055,0.99151,1,0.995,0.94633,0.38162,0.31967,1.19063,0.000604,0.000604,0.000604
82,436.612,0.44053,0.39404,1.07804,0.98773,1,0.995,0.95117,0.35759,0.31928,1.16647,0.00059905,0.00059905,0.00059905
83,441.392,0.45229,0.41764,1.13165,0.98773,1,0.995,0.95117,0.35759,0.31928,1.16647,0.0005941,0.0005941,0.0005941
84,446.331,0.39576,0.34301,1.03936,0.9879,1,0.995,0.95459,0.35561,0.31372,1.15305,0.00058915,0.00058915,0.00058915
85,451.229,0.39512,0.36555,1.02995,0.98854,1,0.995,0.94536,0.36133,0.30678,1.15219,0.0005842,0.0005842,0.0005842
86,456.486,0.42667,0.35167,1.00634,0.99138,1,0.995,0.94564,0.37478,0.30756,1.14715,0.00057925,0.00057925,0.00057925
87,461.34,0.39992,0.34613,1.02186,0.99138,1,0.995,0.94564,0.37478,0.30756,1.14715,0.0005743,0.0005743,0.0005743
88,466.251,0.4353,0.36818,1.08666,0.9932,1,0.995,0.94058,0.39063,0.30575,1.15336,0.00056935,0.00056935,0.00056935
89,471.194,0.47006,0.36572,1.0519,0.99079,1,0.995,0.94274,0.39266,0.30529,1.15451,0.0005644,0.0005644,0.0005644
90,476.084,0.43008,0.3559,1.04049,0.98754,1,0.995,0.94291,0.38563,0.30495,1.15548,0.00055945,0.00055945,0.00055945
91,480.91,0.40357,0.35446,0.98824,0.98754,1,0.995,0.94291,0.38563,0.30495,1.15548,0.0005545,0.0005545,0.0005545
92,485.838,0.39224,0.35358,1.01343,0.98711,1,0.995,0.95178,0.3692,0.29859,1.16122,0.00054955,0.00054955,0.00054955
93,490.744,0.39895,0.35077,1.06728,0.98935,1,0.995,0.95762,0.35996,0.29667,1.14707,0.0005446,0.0005446,0.0005446
94,495.798,0.41261,0.3499,1.03003,0.99297,1,0.995,0.95344,0.35441,0.2902,1.15426,0.00053965,0.00053965,0.00053965
95,500.954,0.3828,0.34193,1.0473,0.99297,1,0.995,0.95344,0.35441,0.2902,1.15426,0.0005347,0.0005347,0.0005347
96,505.878,0.37907,0.34348,1.02512,0.99321,1,0.995,0.94653,0.359,0.29002,1.16174,0.00052975,0.00052975,0.00052975
97,510.789,0.39453,0.35982,1.03915,0.99255,1,0.995,0.95007,0.36707,0.29746,1.1643,0.0005248,0.0005248,0.0005248
98,515.711,0.39833,0.34582,1.00878,0.99043,1,0.995,0.95362,0.36923,0.29818,1.17669,0.00051985,0.00051985,0.00051985
99,520.552,0.4015,0.33974,1.02106,0.99043,1,0.995,0.95362,0.36923,0.29818,1.17669,0.0005149,0.0005149,0.0005149
100,525.496,0.38068,0.33411,1.02434,0.99067,1,0.995,0.95847,0.35868,0.29264,1.18105,0.00050995,0.00050995,0.00050995
101,530.518,0.38864,0.35148,1.04253,0.98947,1,0.995,0.96682,0.34883,0.28339,1.18141,0.000505,0.000505,0.000505
102,535.551,0.37306,0.33009,0.95951,0.98792,1,0.995,0.96463,0.35198,0.28257,1.1911,0.00050005,0.00050005,0.00050005
103,540.744,0.35447,0.31245,0.98376,0.98792,1,0.995,0.96463,0.35198,0.28257,1.1911,0.0004951,0.0004951,0.0004951
104,545.678,0.38113,0.33402,1.02347,0.98911,1,0.995,0.95018,0.35655,0.28732,1.19981,0.00049015,0.00049015,0.00049015
105,550.576,0.36927,0.31815,1.04208,0.99139,1,0.995,0.94522,0.35794,0.27835,1.19986,0.0004852,0.0004852,0.0004852
106,555.483,0.35767,0.31505,1.00149,0.99217,1,0.995,0.95082,0.35722,0.27154,1.19537,0.00048025,0.00048025,0.00048025
107,560.31,0.42696,0.3537,1.07935,0.99217,1,0.995,0.95082,0.35722,0.27154,1.19537,0.0004753,0.0004753,0.0004753
108,565.26,0.40699,0.3413,1.02074,0.99002,1,0.995,0.94522,0.36437,0.27699,1.19651,0.00047035,0.00047035,0.00047035
109,570.24,0.36664,0.3261,0.97643,0.98956,1,0.995,0.94134,0.37711,0.27923,1.20282,0.0004654,0.0004654,0.0004654
110,575.188,0.37931,0.33695,1.03731,0.98995,1,0.995,0.94433,0.37164,0.27813,1.2031,0.00046045,0.00046045,0.00046045
111,580.019,0.35252,0.31258,0.96683,0.98995,1,0.995,0.94433,0.37164,0.27813,1.2031,0.0004555,0.0004555,0.0004555
112,585.218,0.38612,0.3284,1.03152,0.99132,1,0.995,0.94107,0.36768,0.28247,1.20693,0.00045055,0.00045055,0.00045055
113,590.191,0.39149,0.36781,1.02053,0.98761,1,0.995,0.94809,0.36359,0.28582,1.21063,0.0004456,0.0004456,0.0004456
114,595.084,0.34879,0.30721,0.99981,0.98485,1,0.995,0.94997,0.36004,0.28461,1.20847,0.00044065,0.00044065,0.00044065
115,600.181,0.39652,0.33393,1.09201,0.98485,1,0.995,0.94997,0.36004,0.28461,1.20847,0.0004357,0.0004357,0.0004357
116,605.266,0.38007,0.33102,1.02429,0.98947,1,0.995,0.95458,0.36068,0.27368,1.20424,0.00043075,0.00043075,0.00043075
117,610.184,0.37652,0.32588,0.96128,0.99308,1,0.995,0.95057,0.37094,0.27292,1.2027,0.0004258,0.0004258,0.0004258
118,615.104,0.35913,0.30891,0.98906,0.99237,1,0.995,0.94339,0.37929,0.27913,1.19952,0.00042085,0.00042085,0.00042085
119,619.982,0.37858,0.3218,0.9861,0.99237,1,0.995,0.94339,0.37929,0.27913,1.19952,0.0004159,0.0004159,0.0004159
120,625.318,0.42764,0.3696,1.1172,0.99168,1,0.995,0.94284,0.38381,0.28759,1.19431,0.00041095,0.00041095,0.00041095
121,630.266,0.37073,0.30501,1.08334,0.99161,1,0.995,0.94595,0.37641,0.28996,1.18735,0.000406,0.000406,0.000406
122,635.177,0.36091,0.31808,0.98915,0.99088,1,0.995,0.95399,0.36602,0.28795,1.18907,0.00040105,0.00040105,0.00040105
123,640.047,0.38916,0.34186,1.0163,0.99088,1,0.995,0.95399,0.36602,0.28795,1.18907,0.0003961,0.0003961,0.0003961
124,644.968,0.36482,0.31067,1.02433,0.99153,1,0.995,0.95806,0.35838,0.28268,1.19961,0.00039115,0.00039115,0.00039115
125,649.857,0.38038,0.31892,1.02862,0.99281,1,0.995,0.95746,0.35695,0.27654,1.2039,0.0003862,0.0003862,0.0003862
126,654.728,0.36802,0.31673,1.02719,0.99281,1,0.995,0.95793,0.35513,0.27455,1.2012,0.00038125,0.00038125,0.00038125
127,659.57,0.38931,0.31844,1.0027,0.99281,1,0.995,0.95793,0.35513,0.27455,1.2012,0.0003763,0.0003763,0.0003763
128,664.56,0.37948,0.31058,1.02665,0.99307,1,0.995,0.95803,0.35609,0.27162,1.20429,0.00037135,0.00037135,0.00037135
129,669.874,0.3828,0.31507,1.02199,0.99291,1,0.995,0.95633,0.35361,0.27133,1.20589,0.0003664,0.0003664,0.0003664
130,674.785,0.35084,0.29024,0.99349,0.99239,1,0.995,0.95823,0.35028,0.2641,1.20234,0.00036145,0.00036145,0.00036145
131,679.6,0.35681,0.30636,0.96313,0.99239,1,0.995,0.95823,0.35028,0.2641,1.20234,0.0003565,0.0003565,0.0003565
132,684.518,0.35859,0.29906,1.00054,0.99243,1,0.995,0.96018,0.35421,0.26052,1.19805,0.00035155,0.00035155,0.00035155
133,689.402,0.35143,0.29158,0.95801,0.9929,1,0.995,0.9539,0.35906,0.26152,1.19591,0.0003466,0.0003466,0.0003466
134,694.304,0.3685,0.30458,0.98512,0.99331,1,0.995,0.95566,0.35714,0.26256,1.19352,0.00034165,0.00034165,0.00034165
135,699.113,0.37534,0.3198,1.08591,0.99331,1,0.995,0.95566,0.35714,0.26256,1.19352,0.0003367,0.0003367,0.0003367
136,704.024,0.35169,0.30029,1.00837,0.99327,1,0.995,0.95492,0.34949,0.26358,1.19196,0.00033175,0.00033175,0.00033175
137,708.931,0.37889,0.30677,1.0153,0.99284,1,0.995,0.95172,0.34383,0.26225,1.1874,0.0003268,0.0003268,0.0003268
138,714.234,0.36551,0.30769,1.01335,0.99242,1,0.995,0.95181,0.34077,0.2602,1.17634,0.00032185,0.00032185,0.00032185
139,719.086,0.35063,0.29367,1.00612,0.99242,1,0.995,0.95181,0.34077,0.2602,1.17634,0.0003169,0.0003169,0.0003169
140,724.021,0.37624,0.32067,1.0234,0.99248,1,0.995,0.95552,0.34206,0.26165,1.17094,0.00031195,0.00031195,0.00031195
141,728.945,0.36247,0.31396,0.98795,0.99251,1,0.995,0.95382,0.34555,0.26419,1.16982,0.000307,0.000307,0.000307
142,733.889,0.35617,0.29651,0.98136,0.992,1,0.995,0.95374,0.34286,0.26193,1.171,0.00030205,0.00030205,0.00030205
143,738.706,0.35132,0.31028,1.05456,0.992,1,0.995,0.95374,0.34286,0.26193,1.171,0.0002971,0.0002971,0.0002971
144,743.634,0.38019,0.30463,1.03208,0.99268,1,0.995,0.95213,0.3387,0.26207,1.17819,0.00029215,0.00029215,0.00029215
145,748.52,0.33823,0.28533,0.99191,0.99322,1,0.995,0.95662,0.33487,0.2615,1.1798,0.0002872,0.0002872,0.0002872
146,753.391,0.33071,0.28729,0.99664,0.99299,1,0.995,0.95563,0.33019,0.26115,1.18107,0.00028225,0.00028225,0.00028225
147,758.581,0.3604,0.29375,0.99541,0.99299,1,0.995,0.95563,0.33019,0.26115,1.18107,0.0002773,0.0002773,0.0002773
148,763.523,0.35503,0.29707,0.99023,0.99107,1,0.995,0.95335,0.33335,0.25978,1.1788,0.00027235,0.00027235,0.00027235
149,768.405,0.33378,0.27427,1.00872,0.99018,1,0.995,0.95694,0.33681,0.25736,1.18017,0.0002674,0.0002674,0.0002674
150,773.339,0.35567,0.29929,0.98281,0.98998,1,0.995,0.96173,0.33766,0.25441,1.17794,0.00026245,0.00026245,0.00026245
151,778.173,0.34571,0.28699,0.98553,0.98998,1,0.995,0.96173,0.33766,0.25441,1.17794,0.0002575,0.0002575,0.0002575
152,783.091,0.35654,0.29923,0.99311,0.9907,1,0.995,0.96351,0.34067,0.25678,1.17219,0.00025255,0.00025255,0.00025255
153,788.014,0.35814,0.29094,1.00947,0.99078,1,0.995,0.9651,0.34069,0.25813,1.16847,0.0002476,0.0002476,0.0002476
154,792.889,0.3717,0.31201,1.02432,0.99066,1,0.995,0.96035,0.33968,0.2656,1.16459,0.00024265,0.00024265,0.00024265
155,797.774,0.32473,0.27126,1.01042,0.99066,1,0.995,0.96035,0.33968,0.2656,1.16459,0.0002377,0.0002377,0.0002377
156,803.055,0.35343,0.29065,0.99948,0.99083,1,0.995,0.95472,0.34195,0.26818,1.16213,0.00023275,0.00023275,0.00023275
157,807.95,0.33385,0.27958,0.97676,0.99175,1,0.995,0.95675,0.34175,0.26818,1.16195,0.0002278,0.0002278,0.0002278
158,812.834,0.34819,0.3153,1.0166,0.99221,1,0.995,0.95666,0.3446,0.2671,1.15907,0.00022285,0.00022285,0.00022285
159,817.678,0.36622,0.29361,1.01966,0.99221,1,0.995,0.95666,0.3446,0.2671,1.15907,0.0002179,0.0002179,0.0002179
160,822.569,0.36078,0.30458,1.00382,0.9911,1,0.995,0.95556,0.34515,0.26349,1.15602,0.00021295,0.00021295,0.00021295
161,827.449,0.3275,0.28949,1.01489,0.9912,1,0.995,0.95433,0.34008,0.25991,1.1549,0.000208,0.000208,0.000208
162,832.345,0.35474,0.28649,1.0093,0.99174,1,0.995,0.95434,0.33721,0.25806,1.15622,0.00020305,0.00020305,0.00020305
163,837.186,0.35063,0.29037,0.99017,0.99174,1,0.995,0.95434,0.33721,0.25806,1.15622,0.0001981,0.0001981,0.0001981
164,842.449,0.36499,0.2902,1.02346,0.99191,1,0.995,0.95605,0.3364,0.25646,1.1623,0.00019315,0.00019315,0.00019315
165,847.366,0.38267,0.3134,1.01007,0.99264,1,0.995,0.95884,0.33869,0.25568,1.16887,0.0001882,0.0001882,0.0001882
166,852.289,0.3573,0.28866,0.97745,0.9933,1,0.995,0.96519,0.33586,0.25272,1.17185,0.00018325,0.00018325,0.00018325
167,857.094,0.34746,0.28035,1.02296,0.9933,1,0.995,0.96519,0.33586,0.25272,1.17185,0.0001783,0.0001783,0.0001783
168,861.958,0.33675,0.279,1.0233,0.9934,1,0.995,0.96617,0.33052,0.25014,1.1733,0.00017335,0.00017335,0.00017335
169,866.913,0.35715,0.29035,0.99242,0.99296,1,0.995,0.96211,0.33019,0.25169,1.17694,0.0001684,0.0001684,0.0001684
170,871.986,0.34464,0.29317,1.01704,0.99227,1,0.995,0.96181,0.33095,0.25295,1.17543,0.00016345,0.00016345,0.00016345
171,877.289,0.33276,0.28019,0.98636,0.99227,1,0.995,0.96181,0.33095,0.25295,1.17543,0.0001585,0.0001585,0.0001585
172,882.287,0.32903,0.28577,1.02254,0.99232,1,0.995,0.96161,0.33356,0.25054,1.17292,0.00015355,0.00015355,0.00015355
173,887.665,0.34431,0.28534,0.97864,0.99269,1,0.995,0.96457,0.33407,0.24921,1.17068,0.0001486,0.0001486,0.0001486
174,892.731,0.32829,0.2745,1.00663,0.99313,1,0.995,0.96124,0.33364,0.24648,1.16889,0.00014365,0.00014365,0.00014365
175,897.948,0.34613,0.28385,0.99212,0.99313,1,0.995,0.96124,0.33364,0.24648,1.16889,0.0001387,0.0001387,0.0001387
176,903.013,0.33178,0.2733,0.99803,0.99352,1,0.995,0.95778,0.33285,0.24481,1.16756,0.00013375,0.00013375,0.00013375
177,907.988,0.35086,0.29689,1.00516,0.9938,1,0.995,0.96202,0.33138,0.24428,1.16777,0.0001288,0.0001288,0.0001288
178,913.052,0.32528,0.27572,0.99327,0.9946,1,0.995,0.96447,0.33372,0.24479,1.16691,0.00012385,0.00012385,0.00012385
179,918.2,0.33885,0.28557,1.02295,0.9946,1,0.995,0.96447,0.33372,0.24479,1.16691,0.0001189,0.0001189,0.0001189
180,923.165,0.3314,0.2819,0.99283,0.99445,1,0.995,0.96421,0.32959,0.24686,1.16398,0.00011395,0.00011395,0.00011395
181,928.091,0.33307,0.27972,1.00361,0.99413,1,0.995,0.96332,0.32666,0.24713,1.16265,0.000109,0.000109,0.000109
